CBPID,AUID,HHID,SAMKey
677509811,174241088,174241088,2330000171794
677511286,172267485,172267485,2330000382903
677511447,174712760,174712760,2330000172793
677511710,2019338923,2019338923,2330000989503
677511962,172465671,172465671,2330000247737
677512421,2039542218,2039542218,2330001087030
677512762,176275749,176275749,2330000167170
677512845,2008744378,2008744378,2330000698920
677512962,2037826468,2037826468,2330000649508
677513071,2020234724,2020234724,2330000997413
677513083,174257407,174257407,2330000525680
677513898,2026027630,2026027630,2330000714693
677514003,177087873,177087873,2300000211383
677514034,173243875,173243875,2330000457083
677514816,300046815,300046815,2330000127700
677515223,175868261,175868261,2330000011362
677515394,2021150817,2021150817,2330001009047
677515578,300005562,300005562,2330000625476
677515845,178464045,178464045,2330000541580
677516089,2044670365,2044670365,2330001174440
677516304,178471551,178471551,2330000676781
677516370,2037774764,2037774764,2330000649816
677516415,175536978,175536978,2330000627226
677516418,172888521,2035678998,2330000697830
677516500,172856814,172856814,2330000299195
677516656,173659870,173659870,2330000403179
677516726,172049605,172049605,2330000059864
677517092,172525509,172525509,2330000104570
677517277,174241088,174241088,2330000171794
677517422,175798493,175798493,2330000606744
677517844,174825469,174825469,2330000501713
677517999,300046815,300046815,2330000127700
677519609,2039450279,2038902883,2330001087446
677519635,2008124445,2008124445,2330000929811
677519746,178716300,178716300,2330000125385
677520712,177566424,177566424,2330000158611
677521281,2044341405,2044341405,2330001163263
677521849,175527598,175527598,2330000148600
677522052,172465671,172465671,2330000247737
677523287,172933945,172933945,2330000216277
677523569,2045055000,2045055000,2330001254323
677523755,2020565402,2020565402,2330000776097
677510034,177413378,177413378,2330000189629
677510384,2021401458,2021401458,2330000333076
677511594,2036177537,2036177537,2330001073332
677512291,2064561232,2064561232,2330001380270
677512357,173965751,173965751,2330000671069
677512890,2044852528,2044852528,2330001176974
677513245,174338233,174338233,2330000023759
677513386,172869841,172869841,2330000758474
677513502,173152016,173152016,2330000136476
677513569,2039369829,2039369829,2330001077850
677513698,175067204,2033066564,2330000029979
677514018,2042645965,2042645965,2330001133670
677514090,2008236249,2008236249,2330000931733
677514215,172250473,172250473,2330000180812
677514249,174604655,2020040593,2330000611667
677514289,2009296134,2009296134,2330000760146
677514358,172456945,2025346133,2330000687875
677514720,175564550,175564550,2330000045075
677514759,173107414,173107414,2330000152513
677514794,174630012,174630012,2330000268404
677515174,178057261,178057261,2330000765920
677516213,175115743,175115743,2330000659722
677516585,2009950988,2009950988,2330000719963
677516681,2021413741,2021413741,2330000867569
677516861,2039369829,2039369829,2330001077850
677516914,2020442103,2020442103,2330000864820
677517226,2010528510,2010528510,2330000915258
677517274,176227688,176227688,2330000683905
677517859,2039511126,2039511126,2330001083733
677518198,177413378,177413378,2330000189629
677518297,2022070915,2022070915,2330001022701
677518314,173938584,173938584,2330000199056
677518744,173227897,173227897,2330000470024
677518612,2042783355,2042783355,2330001173961
677518845,175293278,175293278,2330000629780
677519495,173227897,173227897,2330000470024
677519712,2039540336,2039540336,2330001124893
677520753,173513526,173513526,2330000378768
677521320,2063620327,2063620327,2330001356129
677521477,176597484,176597484,2330000696730
677521487,172966666,177716209,2330000020504
677521583,2044294931,2044294931,2330001233331
677521869,2030537174,2030537174,2330000771353
677522617,176247567,176247567,2330000319435
677522626,175608603,175608603,2330000535612
677524232,173761573,173761573,2330000081005
677509423,175976693,175976693,2330000546592
677509626,2012918008,2012918008,2330000630325
677509846,172469399,172469399,2330000542167
677509905,2045595160,2045595160,2330001254458
677509992,174688155,174688155,2330000327260
677510408,2042603046,2042603046,2330001171891
677510937,172559434,172559434,2330000066724
677510986,183118529,183118529,2330000700912
677511161,2009629820,2009629820,2330000013716
677511244,2042884713,2042884713,2330001134236
677511413,177413378,177413378,2330000189629
677511523,176227688,176227688,2330000683905
677511569,178275770,178275770,2330000498703
677511608,2021763827,2021763827,2330000411333
677512154,2018729132,2018729132,2330000665624
677512999,173002953,173002953,2330000354002
677513179,2008604739,2008604739,2330000866799
677514829,172501204,2036877963,2330000461956
677515465,174126299,2023810756,2330000587501
677515517,2039244949,2037233978,2330001118706
677515795,189620380,189620380,2330000719184
677515813,176275749,176275749,2330000167170
677516191,2022114947,2034279387,2330000570700
677516330,2010429715,2010429715,2330000223473
677516651,172540448,2017413969,2330000091305
677516691,174595869,174595869,2330000171558
677517132,176063743,2009263973,2330000730898
677517260,176781760,176781760,2330000309314
677517273,174847019,174847019,2330000968162
677517841,2037759899,2016390005,2330001071795
677517877,176474824,176474824,2330000165412
677518204,2020893968,2020893968,2330001005942
677518808,2014358174,2014358174,2330000561459
677519107,177609106,177609106,2330000671189
677519518,177249410,177249410,2330000510601
677522252,2039613672,2039613672,2330000682335
677523566,176230163,176230163,2330000516863
677524331,173664339,2015365364,2330000405982
677509413,174669451,174669451,2330000514044
677509914,173622612,173622612,2330000085710
677510321,2044905211,2044905211,2330001192582
677511551,2010139066,2010139066,2330000867608
677511785,2008845513,2008845513,2330000941467
677511794,186491097,186491097,2330000739691
677511883,177234999,177234999,2330000057061
677511945,300005562,300005562,2330000625476
677512713,175666061,2010796200,2330000563867
677513318,2020565402,2020565402,2330000776097
677513990,2021624902,2021624902,2330000133351
677514825,175864423,175864423,2330000281830
677514853,173940784,173940784,2330000170111
677514992,2037096495,2037096495,2330000915815
677515020,2009793221,2009793221,2330000635608
677515054,174643149,191139005,2330000687760
677515123,175110381,175110381,2330000684951
677515194,174376155,174376155,2330000009283
677515483,177087873,177087873,2300000211383
677515594,2021867169,2021867169,2330000684786
677515876,173659870,173659870,2330000403179
677516150,2039629931,2039629931,2330001122941
677516788,177167476,2023184360,2330000759351
677518408,173831532,173831532,2330000150940
677518547,2020157211,2020157211,2330000681819
677519248,2008077595,2008077595,2330000128157
677519338,172540448,2017413969,2330000091305
677519835,2039434355,2039434355,2330001123044
677520343,173557480,173557480,2330000237303
677521756,172822540,172822540,2330000919771
677522721,2039244949,2037233978,2330001118706
677523565,2012953818,2012953818,2330000035139
677509398,2022733942,2022733942,2330000525882
677510864,176515309,176515309,2330000383162
677510907,175279773,175279773,2330000102729
677511307,2020203911,2020203911,2330000661481
677511455,174471587,174471587,2330000430488
677511704,175174659,2009917855,2330000739447
677512081,174008857,174008857,2330000377284
677512407,181458879,181458879,2330000697605
677513073,2021401458,2021401458,2330000333076
677513293,2042565442,2042565442,2330001140210
677513406,178471551,178471551,2330000676781
677513533,172882460,172882460,2330000731366
677514048,2021413741,2021413741,2330000867569
677514172,172833195,172833195,2330000537189
677514493,176273025,176273025,2330000643010
677514524,174349082,174349082,2330000162156
677515015,2021155908,2021155908,2330000926426
677515210,175598683,175598683,2330000479728
677515413,2021119284,2021119284,2330000999725
677515608,172469399,172469399,2330000542167
677516333,2021150817,2021150817,2330001009047
677516361,2008159370,2008159370,2330000274122
677517353,176505437,176505437,2330000687723
677517524,181713730,181713730,2330000478331
677517882,2023499504,2023499504,2330001033818
677518107,183053267,183053267,2330000910076
677518134,2043947649,2043947649,2330001256100
677518305,174642358,174642358,2330000156713
677518485,2020527969,2020527969,2330001002917
677518625,173591218,173591218,2330000586707
677518635,2042884713,2042884713,2330001134236
677519077,2020890121,2020890121,2330000234274
677519105,2033679416,2033679416,2330000310002
677519657,2044917755,2044917755,2330001192599
677520121,172397120,172397120,2330000371155
677520195,2008668760,2008668760,2330000912029
677520378,2008077595,2008077595,2330000128157
677520649,2039629931,2039629931,2330001122941
677522142,173500815,173500815,2330000643604
677522440,2021624902,2021624902,2330000133351
677522715,2009594913,2009594913,2330000081767
677522731,175776946,2020546992,2330000699569
677522817,174643149,191139005,2330000687760
677522915,173225617,2034809390,2330000076789
677509814,2037807554,2037807554,2330000415813
677510389,2024660720,2024660720,2330001026098
677510709,2009107150,2009107150,2330000758695
677510843,185730012,185730012,2330000782558
677510957,2010066312,2010066312,2330000949160
677511004,172981893,172981893,2330000047507
677511054,2042883619,2042883619,2330001201952
677511584,2066858481,2066858481,2330001432733
677511612,173177445,173177445,2330000544675
677511698,177517948,2021116821,2330000663620
677512082,174126299,2023810756,2330000587501
677513474,172113865,172113865,2330000665944
677513492,172571945,172571945,2330000566963
677513699,174241088,174241088,2330000171794
677514846,174281155,174281155,2330000559372
677514926,177265132,177265132,2330000739002
677515273,175020659,175020659,2330000391380
677515854,2039511761,2039511761,2330001109738
677518666,173076622,173076622,2330000354650
677516002,173014388,2036320621,2330000033995
677516407,172293879,2024043504,2330000002758
677516633,2042603046,2042603046,2330001171891
