CBPID,AUID,HHID,SAMKey
677509365,172113865,172113865,2330000665944
677509900,2063967155,2063967155,2330001358954
677510772,174669451,174669451,2330000514044
677510869,172782085,172782085,2330001079649
677510908,177378376,2031249155,2330000134027
677511029,175174659,2009917855,2330000739447
677511824,2042461913,2042461913,2330001132893
677511953,178263558,178263558,2330000480481
677512160,174113960,174113960,2330000498132
677512739,2039629931,2039629931,2330001122941
677512941,173768611,173768611,2330000493570
677513027,2008845513,2008845513,2330000941467
677513517,2024690336,2024690336,2330000434562
677513555,2033785112,2033785112,2330000680054
677513673,2039609489,2039609489,2330001109746
677513714,172782085,172782085,2330001079649
677514426,181713730,181713730,2330000478331
677514515,177805935,177805935,2330000659746
677514702,172214528,172214528,2330000760101
677514763,178275770,178275770,2330000498703
677515263,177199204,177199204,2330000290155
677515278,173039701,173039701,2330000638260
677515323,2045387398,2045387398,2330001201631
677515447,2021401458,2021401458,2330000333076
677515453,174141861,2022667745,2330000687836
677515859,176545074,176545074,2330000563595
677516409,174076554,174076554,2330000148783
677516457,2042762783,2042762783,2330001057004
677516738,176247567,176247567,2330000319435
677517239,172768763,184941109,2330000265217
677517317,176846472,176846472,2330000731435
677517494,2021155908,2021155908,2330000926426
677517650,174825469,174825469,2330000501713
677517714,180952843,180952843,2330000620556
677517940,177249410,177249410,2330000510601
677517984,2022733942,2022733942,2330000525882
677518195,2008478823,2008478823,2330000703054
677518537,177941236,177941236,2330000635528
677518571,2042436260,2042436260,2330001157564
677519067,2020500354,2020500354,2330000672607
677519825,2009385124,2009385124,2330000913044
677520333,2045300635,2045300635,2330001201698
677520387,2064576676,2064576676,2330001413123
677520725,174847019,174847019,2330000968162
677521956,178249132,178249132,2330000743212
677523857,177087873,177087873,2300000211383
677510043,172728250,172728250,2330000586549
677510490,173243875,173243875,2330000457083
677510726,172856814,172856814,2330000299195
677512087,175293278,175293278,2330000629780
677512184,174202652,2020057568,2330000594396
677512249,2033679416,2033679416,2330000310002
677512562,2063967155,2063967155,2330001358954
677512624,2034373002,2034373002,2330001052231
677513216,2023499504,2023499504,2330001033818
677513280,2044882386,2044882386,2330001206707
677513337,2039818860,2039818860,2330001132616
677513689,174528213,174528213,2330000664155
677513951,2063967155,2063967155,2330001358954
677514367,173316501,173316501,2330000013653
677514520,177841167,177841167,2330000621944
677515425,2035626813,2035626813,2330000124443
677516317,2019823192,2019823192,2330000948055
677516484,173302495,173302495,2330000036678
677516600,173999291,173999291,2330000603789
677516683,175851365,175851365,2330000701380
677516708,2037809790,2021128185,2330001045793
677516764,174938130,174938130,2330000333663
677517245,175467803,175467803,2330000719045
677517836,2008668760,2008668760,2330000912029
677518294,2034373002,2034373002,2330001052231
677518656,2034373002,2034373002,2330001052231
677518988,178263558,178263558,2330000480481
677519254,173039701,173039701,2330000638260
677519913,174202652,2020057568,2330000594396
677520177,2042762783,2042762783,2330001057004
677521023,174127285,174127285,2330000502014
677521855,176545074,176545074,2330000563595
677522539,185052178,185052178,2330000770022
677522708,175730174,175730174,2330000384471
677523009,175851365,175851365,2330000701380
677509794,2020234724,2020234724,2330000997413
677510086,300701164,300701164,2330000778786
677510447,179453595,179453595,2330000654374
677511349,2023071560,2023071560,2330000564761
677511378,176642140,176642140,2330000006820
677511684,2045441022,2045441022,2330001050545
677511754,175279773,175279773,2330000102729
677512269,173513526,173513526,2330000378768
677513222,172464727,172464727,2330000237368
677513329,2044696888,2044696888,2330001233246
677513383,2008473031,2008473031,2330000725935
677513499,2039511761,2039511761,2330001109738
677513637,172888113,172888113,2330000005888
677513646,2033679416,2033679416,2330000310002
677513954,183053267,183053267,2330000910076
677514117,173781670,2009657517,2330000381112
677514241,176681347,176681347,2330000740571
677514308,173733658,173733658,2330000074505
677514758,177409024,177409024,2330000645239
677514780,172894565,172894565,2330000240305
677514852,177979681,177979681,2330000697770
677515057,2009734061,2009734061,2330000807083
677515182,2021472222,2021472222,2330000730872
677515249,173026056,173026056,2330001031289
677515380,2009296134,2009296134,2330000760146
677516000,2021155908,2021155908,2330000926426
677516005,175979739,175979739,2330000191025
677516426,2045431173,2045431173,2330001233506
677517049,172642773,172642773,2330000554417
677517140,175115743,175115743,2330000659722
677517975,185052178,185052178,2330000770022
677518270,2064925416,2064925416,2330001344746
677518363,2039450279,2038902883,2330001087446
677518507,174349082,174349082,2330000162156
677519125,172293879,2024043504,2330000002758
677519131,173098203,2027006666,2330000667446
677519187,172465671,172465671,2330000247737
677519280,172894565,172894565,2330000240305
677519422,178464045,178464045,2330000541580
677519574,2020012448,2020012448,2330000926507
677519700,2045546740,2045546740,2330001254274
677519832,2037096495,2037096495,2330000915815
677519990,2042883619,2042883619,2330001201952
677520758,175776946,2020546992,2330000699569
677521966,181842212,181842212,2330000502814
677522163,2008668760,2008668760,2330000912029
677522426,172888113,172888113,2330000005888
677523665,2035498456,2035498456,2330000010678
677509431,176489021,176489021,2330000645467
677509490,176725359,176725359,2330000056332
677509760,2009156059,2009156059,2330000934775
677510409,2035626813,2035626813,2330000124443
677511058,2008236249,2008236249,2330000931733
677511648,176553601,176553601,2330000719166
677511649,173692076,173692076,2330000517185
677511713,2043947649,2043947649,2330001256100
677511812,2008735312,2008735312,2330000767232
677511903,172681227,172681227,2330000380877
677512055,173063164,173063164,2330000687759
677512136,176990637,176990637,2330000720977
677512427,2044301751,2044301751,2330000914724
677514210,2042733578,2042733578,2330001173644
677515304,172723770,172723770,2330000419463
677515385,2037793273,2037793273,2330000649811
677515778,2020012448,2020012448,2330000926507
677515780,2066858481,2066858481,2330001432733
677516175,2039593797,2039593797,2330001127594
677516208,177204008,177204008,2330000140303
677516216,2039629931,2039629931,2330001122941
677516408,174642358,174642358,2330000156713
677516688,172869841,172869841,2330000758474
677516950,173632882,173632882,2330000466075
677517677,2008668760,2008668760,2330000912029
677518897,2025289968,2025289968,2330000944451
677519212,175279773,175279773,2330000102729
677520077,183118529,183118529,2330000700912
677521874,172856814,172856814,2330000299195
677522997,186491097,186491097,2330000739691
677523193,176914100,176914100,2330000352278
677523199,189680238,189680238,2330000073671
677524421,2008845513,2008845513,2330000941467
677509462,180952843,180952843,2330000620556
677510028,2015976646,2015976646,2330000625423
677510296,2009793221,2009793221,2330000635608
677510527,2020165248,2020165248,2330000411236
677510844,176970036,176970036,2330000185114
677510847,172469399,172469399,2330000542167
677511015,180778207,180778207,2330000567647
677511283,176988139,2022669422,2330000469376
677511762,173900732,173900732,2330000592604
677512491,174107274,174107274,2330000417540
677512613,172525509,172525509,2330000104570
677513085,173076622,173076622,2330000354650
677513926,2020234724,2020234724,2330000997413
677514694,173316501,173316501,2330000013653
677514967,2045300635,2045300635,2330001201698
677515421,177378376,2031249155,2330000134027
677516261,174716789,174716789,2330000767435
677516513,172888113,172888113,2330000005888
677516696,183134808,183134808,2330000266622
677516715,2008845513,2008845513,2330000941467
677517139,172397468,172397468,2330000622007
677517255,177199204,177199204,2330000290155
677517415,175115743,175115743,2330000659722
677517812,2015976646,2015976646,2330000625423
677518263,178525323,178525323,2330000671916
677518572,175864423,175864423,2330000281830
677518788,2064913629,175904459,2330001415483
677519456,173302495,173302495,2330000036678
677519533,174630012,174630012,2330000268404
677519645,175023316,175023316,2330000323541
677519659,174141861,2022667745,2330000687836
677519816,172465671,172465671,2330000247737
677520004,177694850,177694850,2330000340348
677521597,175081389,175081389,2330000607631
677522338,179453595,179453595,2330000654374
677523192,176611367,177977586,2330000382075
677523466,180778207,180778207,2330000567647
677509716,176781760,176781760,2330000309314
677510694,2037807554,2037807554,2330000415813
677510806,176309632,176309632,2330000666468
677512045,172882460,172882460,2330000731366
677512965,174038529,2020314931,2330000169088
677513512,2009563849,2009563849,2330000946058
677514096,2010066312,2010066312,2330000949160
677514339,2042883619,2042883619,2330001201952
677514711,2039511126,2039511126,2330001083733
677515019,175955632,175955632,2330000731377
677515248,2020203911,2020203911,2330000661481
677515561,2019338923,2019338923,2330000989503
677515720,300701164,300701164,2330000778786
677515857,2044973436,2044973436,2330001177013
677516391,175864423,175864423,2330000281830
677516718,175955632,175955632,2330000731377
677516995,172583563,172583563,2330000357746
677517044,2045595160,2045595160,2330001254458
677517403,176275749,176275749,2330000167170
677518005,2012918008,2012918008,2330000630325
677518873,177710161,177710161,2330000728707
677519156,176844967,176844967,2330000493848
677519162,177261202,177261202,2330000607637
677519376,173014388,2036320621,2330000033995
677520002,176489021,176489021,2330000645467
677521880,176429461,176429461,2330000700941
677522421,2044678977,2044678977,2330001202068
677523000,2042883619,2042883619,2330001201952
677523277,2042783355,2042783355,2330001173961
677509532,173661703,173661703,2330000728628
