FAID,CBPID,Samkey,HHID,AUID
249706409,677539458,2330000703359,176372928,176372928
249677717,677536589,2330000227172,175431315,175431315
249732934,677542111,2330000566963,172571945,172571945
249626631,677531397,2330001201698,2045300635,2045300635
249743212,677543139,2330000919213,2008631761,2008631761
249664293,677535247,2330000035236,172712809,172712809
249671371,677535955,2330001173961,2042783355,2042783355
249681073,677536926,2330001109738,2039511761,2039511761
249654807,677534298,2330000259725,174138676,174138676
249677352,677536553,2330001177772,2042536625,2042536625
249657743,677534592,2330000607637,177261202,177261202
249638859,677532619,2330000431940,173633028,173633028
249717810,677540599,2330001042011,2024680299,2024680299
249620311,677530765,2330000659729,184424698,184424698
249717299,677540547,2330000771353,2030537174,2030537174
249695644,677538382,2330000076789,2034809390,173225617
249675893,677536407,2330000177347,176255925,176255925
249665084,677535326,2330001050545,2045441022,2045441022
249755927,677544410,2330000508464,178492737,178492737
249614983,677530232,2330000493848,176844967,176844967
249674847,677536302,2330000102729,175279773,175279773
249630435,677531777,2330000237368,172464727,172464727
249730243,677541841,2330000766747,177766799,177766799
249658394,677534657,2330000244648,174814116,174814116
249635046,677532238,2330000701380,175851365,175851365
249695818,677538399,2330000931733,2008236249,2008236249
249674680,677536286,2330001122940,2039468850,2039468850
249660374,677534855,2330000566963,172571945,172571945
249736588,677542476,2330001081522,2042786071,2042786071
249686841,677537502,2330000323541,175023316,175023316
249658444,677534662,2330000594396,2020057568,174202652
249721275,677540945,2330000697601,174963939,174963939
249681974,677537015,2330000185441,2016347132,2016347132
249613951,677530129,2330000658467,173149944,173149944
249642570,677532991,2330000169088,2020314931,174038529
249744442,677543262,2330000671032,2023900055,2023900055
249618935,677530627,2330000355269,174514356,174514356
249650284,677533846,2330000256877,178121575,178121575
249706185,677539436,2330000076789,2034809390,173225617
249692831,677538101,2330001040488,2024177494,2024177494
249588047,677527538,2330000312281,173387443,173387443
249660572,677534875,2330001344746,2064925416,2064925416
249681511,677536969,2330000515566,174198098,174198098
249635012,677532235,2330000867608,2010139066,2010139066
249663048,677535122,2330000621944,177841167,177841167
249626664,677531400,2330000020504,177716209,172966666
249699927,677538810,2330000411333,2021763827,2021763827
249637968,677532530,2330000705104,2020092293,2020092293
249711185,677539936,2330000356599,2022851604,172968950
249712241,677540042,2330000550910,173902656,173902656
249730300,677541847,2330001173648,2042840766,2042840766
249666066,677535424,2330001434722,2066965771,2066965771
249695552,677538373,2330000228332,173151065,173151065
249673617,677536178,2330001079649,172782085,172782085
249678574,677536675,2330000047507,172981893,172981893
249642703,677533004,2330000510601,177249410,177249410
249698085,677538626,2330000731466,177702062,177702062
249679838,677536802,2330001122941,2039629931,2039629931
249637505,677532484,2330000586707,173591218,173591218
249684630,677537281,2330000333821,174253527,174253527
249684770,677537295,2330000946058,2009563849,2009563849
249695610,677538379,2330000941467,2008845513,2008845513
249668906,677535708,2330000134410,172028282,172028282
249737909,677542608,2330000219211,178201487,178201487
249622879,677531021,2330000307073,172569137,172569137
249744418,677543259,2330000006820,176642140,176642140
249631631,677531897,2330001073332,2036177537,2036177537
249635616,677532295,2330000045075,175564550,175564550
249649526,677533686,2330001176964,2045316045,2045316045
249671165,677535934,2330001256100,2043947649,2043947649
249659350,677534753,2330001133100,2063850219,2063850219
249661976,677535015,2330001254458,2045595160,2045595160
249598459,677528579,2330000649508,2037826468,2037826468
249718750,677540693,2330000577691,175871994,175871994
249679432,677536761,2330000324624,2010153022,2010153022
249717281,677540546,2330000204877,2016621253,175055410
249685710,677537389,2330000393219,181491270,181491270
249711136,677539931,2330000649393,2037738742,2037738742
249621749,677530908,2330000185653,178771108,178771108
249672072,677536025,2330000739691,186491097,186491097
249659624,677534780,2330001254274,2045546740,2045546740
249680158,677536834,2330000541580,178464045,178464045
249644386,677533172,2330000115150,172235583,172235583
249680778,677536896,2330000603789,173999291,173999291
249691429,677537960,2330000217172,177411586,177411586
249683715,677537189,2330001176974,2044852528,2044852528
249663527,677535170,2330000731566,184542861,184542861
249723834,677541201,2330001356129,2063620327,2063620327
249642166,677532950,2330000143089,175085983,175085983
249639212,677532655,2330000259725,174138676,174138676
249677980,677536616,2330000525680,174257407,174257407
249640376,677532771,2330000665944,172113865,172113865
249717497,677540567,2330000345350,172462662,172462662
249637091,677532443,2330000542214,2035931174,173963918
249682774,677537095,2330000206751,174981978,174981978
249669714,677535789,2330000081005,173761573,173761573
249664996,677535317,2330000691156,176499292,176499292
249704719,677539289,2330000355269,174514356,174514356
249649443,677533678,2330000051845,2021226239,2021226239
249718966,677540714,2330000085710,173622612,173622612
249672999,677536117,2330000333821,174253527,174253527
249629353,677531669,2330000125838,176028088,176028088
249655077,677534325,2330000782279,2019369988,2019369988
249728833,677541701,2330000935405,2009388019,2009388019
249670597,677535877,2330000564761,2023071560,2023071560
249647504,677533484,2330000358364,172695654,172695654
249734393,677542257,2330000625476,300005562,300005562
249632985,677532032,2330001173648,2042840766,2042840766
249730508,677541867,2330000340322,172117344,172117344
249721309,677540948,2330000681736,2033897762,2021790489
249708645,677539682,2330000993665,2020023540,2020023540
249732876,677542105,2330000091305,2017413969,172540448
249645342,677533268,2330000586707,173591218,173591218
249683103,677537128,2330000725935,2008473031,2008473031
249661943,677535012,2330000913044,2009385124,2009385124
249663949,677535212,2330000663801,177336578,177336578
249620451,677530779,2330000731566,184542861,184542861
249656026,677534420,2330001124893,2039540336,2039540336
249716143,677540432,2330001079649,172782085,172782085
249699422,677538760,2330000356000,175393692,175393692
249750829,677543900,2330000478331,181713730,181713730
249664186,677535236,2330000106837,176572392,176572392
249620253,677530759,2330000926507,2020012448,2020012448
249678962,677536714,2330000764870,172632854,172632854
249668179,677535635,2330000493570,173768611,173768611
249630450,677531779,2330000023759,174338233,174338233
249664756,677535293,2330000148783,174076554,174076554
249696360,677538454,2330000570700,2034279387,2022114947
249649690,677533703,2330001173607,2042735521,2042735521
249616574,677530391,2330000686907,2008505165,2008505165
249699885,677538806,2330000198939,173872410,173872410
249745662,677543384,2330000198939,173872410,173872410
249699596,677538777,2330000121515,172710102,172710102
249625617,677531295,2330000446160,2021181107,2021181107
249681230,677536941,2330001127594,2039593797,2039593797
249676651,677536484,2330000944451,2025289968,2025289968
249575317,677526265,2330000193714,175676990,175676990
249641986,677532932,2330000487499,175631690,175631690
249673260,677536144,2330000766168,172506174,172506174
249678277,677536645,2330000508464,178492737,178492737
249698416,677538659,2330000089905,172012096,172012096
249672106,677536028,2330000266651,176443307,176443307
249711045,677539922,2330000915258,2010528510,2010528510
249692674,677538085,2330000227172,175431315,175431315
249708819,677539699,2330000469376,2022669422,176988139
249672544,677536072,2330000199056,173938584,173938584
249621715,677530905,2330001202068,2044678977,2044678977
249604851,677529219,2330000561459,2014358174,2014358174
249625286,677531262,2330000051564,2008403612,2008403612
249648841,677533618,2330000870825,2008803278,2008803278
249658162,677534634,2330000672089,176214636,176214636
249727686,677541586,2330000073671,189680238,189680238
249722760,677541094,2330000150940,173831532,173831532
249661455,677534963,2330000274122,2008159370,2008159370
249695586,677538376,2330001173961,2042783355,2042783355
249646985,677533432,2330000112150,172687346,172687346
249745696,677543387,2330000171794,174241088,174241088
249641705,677532904,2330000134410,172028282,172028282
249669490,677535767,2330000683905,176227688,176227688
