FAID,CBPID,Samkey,HHID,AUID
249707662,677539584,2330000563595,176545074,176545074
249708843,677539703,2330000679859,173289870,173289870
249713199,677540137,2330000586228,175090801,175090801
249715517,677540369,2330000731466,177702062,177702062
249722190,677541037,2330000292986,2017590011,172073213
249723487,677541166,2330000355269,174514356,174514356
249727322,677541550,2330000605381,2009142206,177239083
249729286,677541746,2330000394614,172846777,172846777
249729484,677541766,2330000191025,175979739,175979739
249730995,677541917,2330000778786,300701164,300701164
249731324,677541950,2330000932566,2020637571,2020637571
249738915,677542710,2330001177738,2045404118,2045404118
249740358,677542853,2330000185653,178771108,178771108
249741018,677542919,2330000011362,175868261,175868261
249742164,677543034,2330000659746,177805935,177805935
249742180,677543036,2330001173648,2042840766,2042840766
249743386,677543156,2330000206751,174981978,174981978
249755919,677544409,2330000714693,2026027630,2026027630
249760182,677544836,2330000199056,173938584,173938584
249763442,677549005,2330000671916,178525323,178525323
249765009,677549290,2330000193714,175676990,175676990
249765298,677549319,2330001052231,2034373002,2034373002
249766791,677549212,2330000592604,173900732,173900732
249770066,677549667,2330000490640,172030300,172030300
249771064,677549767,2330000299195,172856814,172856814
249771809,677549841,2330000671916,178525323,178525323
249779117,677550933,2330001176964,2045316045,2045316045
249780131,677551107,2330000737231,175534777,175534777
249780628,677551186,2330000144210,179420287,179420287
249787615,677551785,2330000076789,2034809390,173225617
249788043,677551828,2330000208635,2019763647,2019763647
249789165,677551653,2330000673402,300115793,300115793
249790163,677552197,2330000725935,2008473031,2008473031
249799297,677553325,2330001177153,2042859487,2042859487
249800509,677553189,2330001118691,2039243763,2039243763
249801291,677553396,2330000237303,173557480,173557480
249802109,677553477,2330001217997,2044199830,2044199830
249803008,677553689,2330000165412,176474824,176474824
249803453,677553734,2330000649636,2037791941,2037791941
249806647,677554161,2330000993665,2020023540,2020023540
249808262,677554323,2330000807083,2009734061,2009734061
249824897,677556560,2330000371339,173914290,173914290
249827502,677556864,2330000498703,178275770,178275770
249831843,677557041,2330000864820,2020442103,2020442103
249848946,677559568,2330000255824,172806772,172806772
249855339,677560337,2330001217997,2044199830,2044199830
249737354,677542553,2330000546592,175976693,175976693
249801838,677553450,2330000713483,178162062,178162062
249697806,677538598,2330001174440,2044670365,2044670365
249700428,677538860,2330000030091,172519622,172519622
249710328,677539850,2330000136476,173152016,173152016
249710708,677539888,2330000739407,2020173172,2020173172
249713926,677540211,2330000072089,2037759907,2037759907
249730623,677541880,2330000671030,175354180,175354180
249731944,677542012,2330000682335,2039613672,2039613672
249733502,677542169,2330000866799,2008604739,2008604739
249737461,677542564,2330000364515,180549316,180549316
249738352,677542654,2330001173644,2042733578,2042733578
249740788,677542896,2330000020504,177716209,172966666
249754029,677544220,2330000148600,175527598,175527598
249754136,677544231,2330000681736,2033897762,2021790489
249755430,677544361,2330000365788,172976946,172976946
249762063,677545026,2330000682335,2039613672,2039613672
249762386,677548899,2330000566963,172571945,172571945
249762741,677548935,2330000185441,2016347132,2016347132
249763350,677548996,2330000198939,173872410,173872410
249769126,677549573,2330000013716,2009629820,2009629820
249772112,677549872,2330000274122,2008159370,2008159370
249772930,677549956,2330001132493,2039811985,2039811985
249774951,677550199,2330000691156,176499292,176499292
249779463,677551040,2330000989503,2019338923,2019338923
249780099,677551103,2330000070117,174744302,174744302
249780735,677551197,2330000731435,176846472,176846472
249784968,677551906,2330000587501,2023810756,174126299
249787888,677551812,2330000313155,176644715,176644715
249788241,677551561,2330001254323,2045055000,2045055000
249788449,677551581,2330000498703,178275770,178275770
249788803,677551617,2330000292986,2017590011,172073213
249789157,677551652,2330000603789,173999291,173999291
249791914,677552372,2330000949160,2010066312,2010066312
249793845,677552608,2330000968162,174847019,174847019
249794983,677552765,2330000714868,2019469068,2019469068
249799289,677553324,2330000345350,172462662,172462662
249806084,677554041,2330000113532,173934059,173934059
249807967,677554293,2330000461956,2036877963,172501204
249811290,677554668,2330000573877,2020289293,2009275300
249814757,677555187,2330001042011,2024680299,2024680299
249817164,677555543,2300000211383,177087873,177087873
249821331,677555960,2330000766953,2016256577,2016256577
249824293,677556500,2330000257715,174048186,174048186
249827072,677556821,2330000778630,2045486676,2045486676
249829631,677557206,2330000484619,176546025,176546025
249831538,677557010,2330000382903,172267485,172267485
249836685,677557940,2330000649508,2037826468,2037826468
249845264,677558901,2330000591328,174451853,174451853
249845413,677558916,2330000659722,175115743,175115743
249848854,677559559,2330001123064,2039435229,2039435229
249711821,677540001,2330000410279,2008280812,2008280812
249713223,677540140,2330000778630,2045486676,2045486676
249716879,677540505,2330000544675,173177445,173177445
249723388,677541156,2330000206751,174981978,174981978
249740424,677542860,2330000696787,176215685,176215685
249742362,677543054,2330000561459,2014358174,2014358174
249744228,677543240,2330001133670,2042645965,2042645965
249745357,677543353,2330000185441,2016347132,2016347132
249760042,677544822,2330000666370,175520830,175520830
249764499,677549110,2330000535986,172722022,172722022
249773367,677549999,2330000310381,2020607841,2020607841
249774969,677550200,2330001206707,2044882386,2044882386
249776709,677550562,2330000371155,172397120,172397120
249780073,677551101,2330000191025,175979739,175979739
249780560,677551180,2330000573877,2020289293,2009275300
249782038,677551326,2330000699569,2020546992,175776946
249784851,677551895,2330000356000,175393692,175393692
249788787,677551615,2330000204877,2016621253,175055410
249791179,677552298,2330000913044,2009385124,2009385124
249792730,677552454,2330000011362,175868261,175868261
249800251,677553164,2330000247723,2036688462,2036688462
249808403,677554337,2330000623764,172253876,172253876
249813346,677554945,2330000074505,173733658,173733658
249814260,677555138,2330001223245,2042968651,2042968651
249821208,677555947,2330001174531,2042730617,2042730617
249822362,677556307,2330001132893,2042461913,2042461913
249822453,677556316,2330001174835,2044320127,2044320127
249824400,677556511,2330000502014,174127285,174127285
249827775,677556891,2330000497986,173635202,173635202
249846221,677559210,2330000679862,173064096,173064096
249853979,677560071,2330001194893,2045443891,2045443891
249854076,677560081,2330000739691,186491097,186491097
249857921,677560466,2330000649811,2037793273,2037793273
249864349,677561237,2330000759351,2023184360,177167476
249747809,677543598,2330000739531,181289822,181289822
249748633,677543810,2330000936311,175636925,175636925
249775032,677550207,2330000018115,176224065,176224065
249714072,677540226,2330000594396,2020057568,174202652
249714288,677540247,2330000590917,172132706,172132706
249730581,677541876,2330000369722,181954633,181954633
249734674,677542285,2330000411236,2020165248,2020165248
249735002,677542318,2330000684786,2021867169,2021867169
249735184,677542336,2330000697770,177979681,177979681
249748104,677543628,2330000687759,173063164,173063164
249749136,677543860,2330000691005,173526605,173526605
249752528,677544070,2330000419463,172723770,172723770
249755273,677544345,2330000958934,2023692754,2023692754
249756933,677544511,2330000765920,178057261,178057261
249757832,677544602,2330000515566,174198098,174198098
249760653,677544883,2330000915258,2010528510,2010528510
249765959,677549385,2330000380877,172681227,172681227
249768151,677549476,2330000607383,173693761,173693761
249777863,677550808,2330000767232,2008735312,2008735312
249778978,677550919,2330000866799,2008604739,2008604739
249779745,677551068,2330001031673,2035427247,2035427247
249783101,677551435,2330000324624,2010153022,2010153022
249788423,677551579,2330000466433,2020261537,2020261537
249788712,677551608,2330001140210,2042565442,2042565442
249789009,677551637,2330000217172,177411586,177411586
249794355,677552659,2330000642243,173043310,173043310
249794538,677552677,2330000928281,2019970484,2019970484
249795253,677552792,2330000309314,176781760,176781760
249798547,677553250,2330000642243,173043310,173043310
249803222,677553711,2330000517185,173692076,173692076
249809443,677554483,2330000020504,177716209,172966666
249834953,677557724,2330000625476,300005562,300005562
249839275,677558271,2330000630079,2021676939,2021676939
249822263,677556297,2330001415483,175904459,2064913629
249688821,677537700,2330000217172,177411586,177411586
249700444,677538862,2330000487499,175631690,175631690
249706573,677539477,2330000171794,174241088,174241088
249715897,677540407,2330001173679,2043146515,2043146515
249728718,677541689,2330000337382,174894669,174894669
249743279,677543145,2330000073671,189680238,189680238
249747262,677543544,2330000184048,174823435,174823435
249754227,677544240,2330000603789,173999291,173999291
249760547,677544872,2330000867727,2010860099,2010860099
249760745,677544892,2330000134027,2031249155,177378376
249760794,677544897,2330000700131,175303046,175303046
249762030,677545023,2330000382075,177977586,176611367
249764416,677549102,2330000259725,174138676,174138676
249764838,677549144,2330000480481,178263558,178263558
249767997,677549460,2330000280744,173582635,173582635
249778150,677550837,2330000133351,2021624902,2021624902
249782699,677551392,2330000713285,177383121,177383121
249784638,677551873,2330000739002,177265132,177265132
249785676,677551977,2330000739691,186491097,186491097
249788779,677551614,2330000539449,172842646,172842646
249794637,677552730,2330001157564,2042436260,2042436260
249794868,677552753,2330000371339,173914290,173914290
249819822,677555809,2330000867592,2015407640,2015407640
249830001,677557243,2330000620060,179858802,179858802
249836354,677557907,2330000586228,175090801,175090801
249839853,677558487,2330000736423,178130629,178130629
249847831,677559457,2330001254274,2045546740,2045546740
249772278,677549888,2330000936311,175636925,175636925
249707704,677539588,2330000586228,175090801,175090801
249707993,677539617,2330000758348,177682972,177682972
249709304,677539749,2330000333821,174253527,174253527
249743790,677543197,2330000217172,177411586,177411586
249744145,677543232,2330000011681,177314876,177314876
249746819,677543499,2330001073332,2036177537,2036177537
249748930,677543840,2330000394614,172846777,172846777
249751140,677543932,2330000025173,173630866,173630866
249752049,677544022,2330000607631,175081389,175081389
249754268,677544244,2330000607637,177261202,177261202
249757154,677544533,2330000611667,2020040593,174604655
