FAID,CBPIS,Samkey,HHID,AUID
249706771,677539497,2330000728628,173661703,173661703
249736349,677542452,2330000643010,176273025,176273025
249742644,677543082,2330000074918,2009420938,2009420938
249743907,677543208,2330001073332,2036177537,2036177537
249747239,677543541,2330000479728,175598683,175598683
249750480,677543738,2330000761581,177051344,177051344
249752569,677544074,2330001087446,2038902883,2039450279
249754060,677544224,2330001022701,2022070915,2022070915
249754300,677544248,2330000502014,174127285,174127285
249755406,677544358,2330000143089,175085983,175085983
249756628,677544480,2330000354002,173002953,173002953
249761461,677544966,2330000753736,2018023622,2018023622
249784778,677551887,2330000649442,2037738777,2037738777
249789579,677552138,2330000355269,174514356,174514356
249790486,677552229,2330000627226,175536978,175536978
249790494,677552230,2330000072089,2037759907,2037759907
249800137,677553152,2330000392807,178047921,178047921
249802034,677553470,2330000941467,2008845513,2008845513
249804337,677553865,2330000091305,2017413969,172540448
249804964,677553929,2330001201952,2042883619,2042883619
249810003,677554539,2330000261285,177907602,177907602
249810458,677554584,2330000680054,2033785112,2033785112
249812702,677554881,2330000382075,177977586,176611367
249816778,677555504,2330000864820,2020442103,2020442103
249820473,677555874,2330000766747,177766799,177766799
249821000,677555927,2330000011681,177314876,177314876
249822016,677556272,2330001211950,2042611662,2042611662
249823261,677556112,2330000611673,2019946371,172178797
249824533,677556524,2330000104570,172525509,172525509
249837956,677558067,2330000333663,174938130,174938130
249845009,677558875,2330000919213,2008631761,2008631761
249710138,677539831,2330000040155,172261255,172261255
249736406,677542458,2330001018480,2035703102,2035703102
249756222,677544440,2330000174045,176909148,176909148
249762402,677548901,2330000013653,173316501,173316501
249769522,677549613,2330001163263,2044341405,2044341405
249771965,677549857,2330000365788,172976946,172976946
249804550,677553887,2330000185223,172171902,172171902
249793316,677552512,2330001123044,2039434355,2039434355
249796665,677552933,2330000167170,176275749,176275749
249844069,677559080,2330000466075,173632882,173632882
249760893,677544907,2330000539449,172842646,172842646
249774704,677550174,2330001163266,2042420509,2042420509
249703018,677550318,2330000458046,177182669,177182669
249708827,677539701,2330000659729,184424698,184424698
249712787,677540096,2330000672089,176214636,176214636
249719543,677540772,2330000607637,177261202,177261202
249720772,677540896,2330000124324,173543654,173543654
249722307,677541048,2330000281830,175864423,175864423
249724493,677541268,2330001132616,2039818860,2039818860
249729955,677541813,2330000162156,174349082,174349082
249738758,677542694,2330000363266,175116897,175116897
249740382,677542856,2330000055183,175999995,175999995
249746868,677543504,2330000073671,189680238,189680238
249747031,677543521,2330000184048,174823435,174823435
249757477,677544566,2330000714693,2026027630,2026027630
249764069,677549067,2330000466433,2020261537,2020261537
249769902,677549651,2330001126218,2019621228,2039568109
249775248,677550228,2330000113532,173934059,173934059
249785460,677551956,2330000686907,2008505165,2008505165
249786435,677552053,2330000567647,180778207,180778207
249786997,677551723,2330000870825,2008803278,2008803278
249790775,677552258,2330000607631,175081389,175081389
249791484,677552329,2330000931733,2008236249,2008236249
249796251,677552892,2330000327260,174688155,174688155
249800871,677553226,2330001087446,2038902883,2039450279
249806290,677554126,2330000148600,175527598,175527598
249806811,677554178,2330001176964,2045316045,2045316045
249806910,677554188,2330000133604,172208598,172208598
249809039,677554442,2330000573877,2020289293,2009275300
249815689,677555280,2330000697830,2035678998,172888521
249816067,677555318,2330000938003,2008470338,2008470338
249817560,677555583,2330000324332,173058815,173058815
249819376,677555764,2330000703054,2008478823,2008478823
249824442,677556515,2330000170111,173940784,173940784
249827650,677556879,2330000121515,172710102,172710102
249837378,677558009,2330000324624,2010153022,2010153022
249724824,677541301,2330000520092,2008503898,2008503898
249762774,677548938,2330000327028,174160769,174160769
249832601,677557504,2330000340290,174088711,174088711
249785783,677551988,2330000934775,2009156059,2009156059
249805441,677553977,2330000696730,176597484,176597484
249811928,677554774,2330000758695,2009107150,2009107150
249841347,677558636,2330000758348,177682972,177682972
249737453,677542563,2330000691005,173526605,173526605
249765710,677549361,2330000724104,2019408230,2019408230
249806464,677554143,2330000564258,175742853,175742853
249809831,677554522,2330000564258,175742853,175742853
249825605,677556675,2330000950170,2010205793,2010205793
249728577,677541675,2330000867727,2010860099,2010860099
249732264,677542044,2330000227172,175431315,175431315
249733882,677542207,2330000419463,172723770,172723770
249750316,677543721,2330000625476,300005562,300005562
249754318,677544249,2330000570700,2034279387,2022114947
249754904,677544308,2330000147850,177584540,177584540
249757741,677544593,2330000926507,2020012448,2020012448
249762428,677548903,2330000807083,2009734061,2009734061
249764200,677549081,2330001174440,2044670365,2044670365
249778887,677550910,2330000649393,2037738742,2037738742
249779430,677551037,2330000714693,2026027630,2026027630
249782640,677551387,2330000276356,178043967,178043967
249784737,677551883,2330000676781,178471551,178471551
249788688,677551605,2330000011362,175868261,175868261
249791039,677552284,2330001233331,2044294931,2044294931
249804824,677553914,2330000511716,173887971,173887971
249813320,677554943,2330000247737,172465671,172465671
249815333,677555245,2330000206751,174981978,174981978
249821125,677555939,2330000377284,174008857,174008857
249840174,677558519,2330000405982,2015365364,173664339
249711839,677540002,2330000350650,173937132,173937132
249802018,677553468,2330000649816,2037774764,2037774764
249755828,677544400,2330000638000,175538037,175538037
249837899,677558061,2330001041713,2024611612,2024611612
249818881,677555715,2330000932566,2020637571,2020637571
249724485,677541267,2330001133675,2042832429,2042832429
249754367,677544254,2330000352112,172207897,172207897
249830258,677557268,2330000074505,173733658,173733658
249740333,677542851,2330000165412,176474824,176474824
249747288,677543546,2330000697830,2035678998,172888521
249753302,677544148,2330000010678,2035498456,2035498456
249758343,677544653,2330000867727,2010860099,2010860099
249767286,677549261,2330000605381,2009142206,177239083
249769860,677549647,2330000076789,2034809390,173225617
249774936,677550197,2330000211594,2020880700,177881542
249782863,677551409,2330000490640,172030300,172030300
249789272,677551664,2330000217172,177411586,177411586
249792474,677552428,2330000725935,2008473031,2008473031
249796525,677552919,2330001133100,2063850219,2063850219
249796855,677552952,2330000340322,172117344,172117344
249802687,677553657,2330000665624,2018729132,2018729132
249803776,677553809,2330000919213,2008631761,2008631761
249806597,677554156,2330000371155,172397120,172397120
249807264,677554223,2330000035236,172712809,172712809
249807611,677554258,2330001344746,2064925416,2064925416
249810466,677554585,2330000497986,173635202,173635202
249813023,677554913,2330000419463,172723770,172723770
249819418,677555768,2330001173607,2042735521,2042735521
249821257,677555952,2330000381112,2009657517,173781670
249822537,677556324,2330001009047,2021150817,2021150817
249822750,677556346,2330000637481,177783240,177783240
249824848,677556555,2330000778630,2045486676,2045486676
249828872,677557130,2330000758474,172869841,172869841
249832411,677557485,2330000760101,172214528,172214528
249833799,677557365,2330001079649,172782085,172782085
249836529,677557924,2330000700131,175303046,175303046
249837832,677558055,2330000949160,2010066312,2010066312
249711755,677539994,2330000470024,173227897,173227897
249718271,677540645,2330001132493,2039811985,2039811985
249725862,677541406,2330001031673,2035427247,2035427247
249764630,677549124,2330000030091,172519622,172519622
249767724,677549433,2330000290155,177199204,177199204
249774761,677550180,2330000728707,177710161,177710161
249777533,677550645,2330000340290,174088711,174088711
249805300,677553963,2330000679862,173064096,173064096
249807199,677554216,2330000687723,176505437,176505437
249819830,677555810,2330000082617,187333891,187333891
249833971,677557383,2330000674206,174593215,174593215
249842386,677558742,2330001109746,2039609489,2039609489
249710476,677539865,2330000713285,177383121,177383121
249713900,677540209,2330000430488,174471587,174471587
249714148,677540233,2330001206707,2044882386,2044882386
249743238,677543141,2330000864537,2010588782,2010588782
249745860,677543404,2330000356599,2022851604,172968950
249747320,677543550,2330000681819,2020157211,2020157211
249750019,677543691,2330000701380,175851365,175851365
249762188,677545038,2330000324624,2010153022,2010153022
249769183,677549579,2330000211594,2020880700,177881542
249784075,677551532,2330001358954,2063967155,2063967155
249789447,677551681,2330000654374,179453595,179453595
249791047,677552285,2330000458046,177182669,177182669
249792870,677552468,2330000867592,2015407640,2015407640
249794439,677552667,2330001022701,2022070915,2022070915
249795881,677552855,2330000199056,173938584,173938584
249797432,677553010,2330000124443,2035626813,2035626813
249803966,677553828,2330000635608,2009793221,2009793221
249834706,677557699,2330001173644,2042733578,2042733578
249835984,677557870,2330001081522,2042786071,2042786071
249837527,677558024,2330000515566,174198098,174198098
249847773,677559451,2330000935405,2009388019,2009388019
249850280,677559702,2330001173644,2042733578,2042733578
249845231,677558898,2330000671030,175354180,175354180
249724725,677541291,2330000666370,175520830,175520830
249756149,677544432,2330001134236,2042884713,2042884713
249760828,677544900,2330001413123,2064576676,2064576676
249779992,677551093,2330001413123,2064576676,2064576676
249765082,677549298,2330000155350,2015110738,175890339
249777681,677550660,2330000185223,172171902,172171902
249795576,677552824,2330000759351,2023184360,177167476
249799982,677553137,2330000699569,2020546992,175776946
249829953,677557238,2330001194893,2045443891,2045443891
249847781,677559452,2330000136476,173152016,173152016
249740168,677542834,2330000782558,185730012,185730012
249711920,677540011,2330001434722,2066965771,2066965771
249715624,677540380,2330000864537,2010588782,2010588782
249719394,677540757,2330001071795,2016390005,2037759899
249720731,677540892,2330000431940,173633028,173633028
249728692,677541687,2330001077850,2039369829,2039369829
249733908,677542209,2330001017615,2021794262,2021794262
249734484,677542266,2330001256100,2043947649,2043947649
249740903,677542908,2330000867592,2015407640,2015407640
249742222,677543040,2330000664155,174528213,174528213
249742420,677543060,2330000408918,175157012,175157012
249753468,677544164,2330000697830,2035678998,172888521
249767070,677549240,2330000946058,2009563849,2009563849
249769365,677549597,2330000206751,174981978,174981978
249771049,677549765,2330000747196,177044532,177044532
249771494,677549810,2330000405982,2015365364,173664339
249774118,677550115,2330000719184,189620380,189620380
249778846,677550906,2330000766747,177766799,177766799
249778861,677550908,2330000274122,2008159370,2008159370
249786534,677552063,2330000511716,173887971,173887971
249790502,677552231,2330000697770,177979681,177979681
249795741,677552841,2330000480481,178263558,178263558
249798331,677553100,2330000392807,178047921,178047921
249802489,677553637,2330000371155,172397120,172397120
249814732,677555185,2330000092832,173527395,173527395
249814765,677555188,2330000679819,173278848,173278848
249815952,677555307,2330000542214,2035931174,173963918
249827098,677556823,2330000544675,173177445,173177445
249850231,677559697,2330000703359,176372928,176372928
249868217,677561495,2330001176964,2045316045,2045316045
249829508,677557193,2330001031673,2035427247,2035427247
249737768,677542594,2330000191025,175979739,175979739
249741398,677542957,2330000420085,2026950893,2026950893
249765108,677549300,2330001174531,2042730617,2042730617
249769357,677549596,2330001414579,2064844694,2064844694
249790551,677552236,2330000128157,2008077595,2008077595
249793159,677552496,2330000667446,2027006666,173098203
249766957,677549228,2330000866799,2008604739,2008604739
249699158,677538733,2330000643010,176273025,176273025
249705328,677539350,2330000739447,2009917855,175174659
249711862,677540005,2330000006820,176642140,176642140
249711888,677540007,2330000102729,175279773,175279773
249715350,677540353,2330000009283,174376155,174376155
249719196,677540737,2330001002917,2020527969,2020527969
249720525,677540871,2330000134410,172028282,172028282
249733254,677542144,2330000125838,176028088,176028088
249735820,677542400,2330001192599,2044917755,2044917755
249740234,677542841,2330000390759,177091085,177091085
249742065,677543024,2330000620060,179858802,179858802
249742966,677543114,2330000469376,2022669422,176988139
249743600,677543178,2330001356129,2063620327,2063620327
249753112,677544129,2330000356000,175393692,175393692
249759960,677544814,2330000658873,172228908,172228908
249764119,677549072,2330000731466,177702062,177702062
249764341,677549095,2330000047507,172981893,172981893
249765256,677549315,2330000620556,180952843,180952843
249765850,677549375,2330000410279,2008280812,2008280812
249772054,677549866,2330000567647,180778207,180778207
249775123,677550216,2330000333663,174938130,174938130
249779489,677551042,2330001282624,2050344105,2050344105
